id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
1123,32,JAWA BARAT,3273,KOTA BANDUNG,SMA (UMUM),54215.0,ORANG,2020
1124,32,JAWA BARAT,3273,KOTA BANDUNG,SMA (KEJURUAN),33242.0,ORANG,2020
1125,32,JAWA BARAT,3273,KOTA BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,32198.0,ORANG,2020
1126,32,JAWA BARAT,3274,KOTA CIREBON,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,3510.0,ORANG,2020
1127,32,JAWA BARAT,3274,KOTA CIREBON,SD,3074.0,ORANG,2020
1128,32,JAWA BARAT,3274,KOTA CIREBON,SMP,921.0,ORANG,2020
1129,32,JAWA BARAT,3274,KOTA CIREBON,SMA (UMUM),5036.0,ORANG,2020
1130,32,JAWA BARAT,3274,KOTA CIREBON,SMA (KEJURUAN),3161.0,ORANG,2020
1131,32,JAWA BARAT,3274,KOTA CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1464.0,ORANG,2020
1132,32,JAWA BARAT,3275,KOTA BEKASI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2322.0,ORANG,2020
1133,32,JAWA BARAT,3275,KOTA BEKASI,SD,6155.0,ORANG,2020
1134,32,JAWA BARAT,3275,KOTA BEKASI,SMP,26353.0,ORANG,2020
1135,32,JAWA BARAT,3275,KOTA BEKASI,SMA (UMUM),32936.0,ORANG,2020
1136,32,JAWA BARAT,3275,KOTA BEKASI,SMA (KEJURUAN),42396.0,ORANG,2020
1137,32,JAWA BARAT,3275,KOTA BEKASI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,51149.0,ORANG,2020
1138,32,JAWA BARAT,3276,KOTA DEPOK,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,5482.0,ORANG,2020
1139,32,JAWA BARAT,3276,KOTA DEPOK,SD,8831.0,ORANG,2020
1140,32,JAWA BARAT,3276,KOTA DEPOK,SMP,11176.0,ORANG,2020
1141,32,JAWA BARAT,3276,KOTA DEPOK,SMA (UMUM),21713.0,ORANG,2020
1142,32,JAWA BARAT,3276,KOTA DEPOK,SMA (KEJURUAN),42304.0,ORANG,2020
1143,32,JAWA BARAT,3276,KOTA DEPOK,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,28526.0,ORANG,2020
1144,32,JAWA BARAT,3277,KOTA CIMAHI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,322.0,ORANG,2020
1145,32,JAWA BARAT,3277,KOTA CIMAHI,SD,1588.0,ORANG,2020
1146,32,JAWA BARAT,3277,KOTA CIMAHI,SMP,7978.0,ORANG,2020
1147,32,JAWA BARAT,3277,KOTA CIMAHI,SMA (UMUM),10279.0,ORANG,2020
1148,32,JAWA BARAT,3277,KOTA CIMAHI,SMA (KEJURUAN),11567.0,ORANG,2020
1149,32,JAWA BARAT,3277,KOTA CIMAHI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,7321.0,ORANG,2020
1150,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,864.0,ORANG,2020
1151,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SD,8737.0,ORANG,2020
1152,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMP,2542.0,ORANG,2020
1153,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMA (UMUM),4855.0,ORANG,2020
1154,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMA (KEJURUAN),7983.0,ORANG,2020
1155,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2460.0,ORANG,2020
1156,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,129.0,ORANG,2020
1157,32,JAWA BARAT,3279,KOTA BANJAR,SD,1056.0,ORANG,2020
1158,32,JAWA BARAT,3279,KOTA BANJAR,SMP,1040.0,ORANG,2020
1159,32,JAWA BARAT,3279,KOTA BANJAR,SMA (UMUM),1365.0,ORANG,2020
1160,32,JAWA BARAT,3279,KOTA BANJAR,SMA (KEJURUAN),2343.0,ORANG,2020
1161,32,JAWA BARAT,3279,KOTA BANJAR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,677.0,ORANG,2020
